run,sid,block,condition,m,N,k,delta,rotation,target_label,n_draws,mean_logodds,sd_logodds,b_pos,q_t,b_star,correct,denominator,s,abs_err_nats,is_flip,n_clipped
deepseek,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,0,SIGMA,10,0.0,0.0,0.0,-1.946008,-3.649186,-1.946008,-1.946008,-0.0,1.946008,False,0
deepseek,B1-CORE|m2|N9|k0|rot1|FULL,B1-CORE,FULL,2,9,0,0,1,THETA,10,-2.505268,0.822685,0.0,-3.649186,-3.649186,-3.649186,-3.649186,0.686528,1.143918,False,0
deepseek,B1-CORE|m2|N9|k0|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,1,THETA,10,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
deepseek,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,1,THETA,10,0.0,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,-0.0,3.649186,False,0
deepseek,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,1,THETA,10,0.0,0.0,0.0,-1.946008,-3.649186,-1.946008,-1.946008,-0.0,1.946008,False,0
deepseek,B1-CORE|m2|N9|k2|rot0|FULL,B1-CORE,FULL,2,9,2,0,0,SIGMA,10,-1.199381,0.973334,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.708291,0.827944,True,0
deepseek,B1-CORE|m2|N9|k2|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,0,SIGMA,10,0.486269,0.17035,0.81093,-2.027326,-2.027326,0.81093,-2.838256,0.114387,0.324661,True,0
deepseek,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,0,SIGMA,10,0.809486,0.0,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.000509,2.836812,True,0
deepseek,B1-CORE|m2|N9|k2|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,0,SIGMA,10,0.867311,0.121906,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,-0.037251,1.569943,True,0
deepseek,B1-CORE|m2|N9|k2|rot1|FULL,B1-CORE,FULL,2,9,2,0,1,THETA,10,0.300749,1.68882,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.179752,2.328075,True,0
deepseek,B1-CORE|m2|N9|k2|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,2,0,1,THETA,10,0.68828,0.195161,0.81093,-2.027326,-2.027326,0.81093,-2.838256,0.043213,0.12265,True,0
deepseek,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,2,0,1,THETA,10,0.646797,0.282281,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.057829,2.674122,True,0
deepseek,B1-CORE|m2|N9|k2|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,2,3/10,1,THETA,10,0.859231,0.157307,0.81093,-0.702632,-2.027326,-0.702632,-1.513562,-0.031912,1.561863,True,0
deepseek,B1-CORE|m2|N9|k4|rot0|FULL,B1-CORE,FULL,2,9,4,0,0,SIGMA,10,0.172233,1.524652,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.715044,0.577698,True,0
deepseek,B1-CORE|m2|N9|k4|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,0,SIGMA,10,1.534231,0.169202,1.62186,-0.405465,-0.405465,1.62186,-2.027326,0.043224,0.087629,True,0
deepseek,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,0,SIGMA,10,1.009851,0.215161,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.30188,1.415316,True,0
deepseek,B1-CORE|m2|N9|k4|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,0,SIGMA,10,0.829803,0.386151,1.62186,0.540745,-0.405465,0.540745,-1.081116,0.732629,0.289059,False,0
deepseek,B1-CORE|m2|N9|k4|rot1|FULL,B1-CORE,FULL,2,9,4,0,1,THETA,10,1.133418,0.3645,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.240929,1.538883,True,0
deepseek,B1-CORE|m2|N9|k4|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,4,0,1,THETA,10,0.809486,0.0,1.62186,-0.405465,-0.405465,1.62186,-2.027326,0.400712,0.812374,True,0
deepseek,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,4,0,1,THETA,10,0.391901,0.86366,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.60669,0.797366,True,0
deepseek,B1-CORE|m2|N9|k4|rot1|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,4,3/10,1,THETA,10,1.327603,0.420262,1.62186,0.540745,-0.405465,0.540745,-1.081116,0.272179,0.786858,False,0
deepseek,B1-CORE|m2|N9|k6|rot0|FULL,B1-CORE,FULL,2,9,6,0,0,SIGMA,10,1.455865,0.408935,2.432791,1.216395,1.216395,1.216395,-1.216395,0.803131,0.23947,False,0
deepseek,B1-CORE|m2|N9|k6|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,6,0,0,SIGMA,10,0.526717,0.272822,2.432791,1.216395,1.216395,2.432791,-1.216395,1.566985,1.906073,False,0
